Using device: cuda
Episode 0, Total Reward: 2.0, Total Frames: 23, epsilon 0.9999769999999993
Episode 1, Total Reward: 2.0, Total Frames: 50, epsilon 0.9999499999999986
Episode 2, Total Reward: 0.0, Total Frames: 52, epsilon 0.9999479999999985
Episode 3, Total Reward: 0.0, Total Frames: 54, epsilon 0.9999459999999984
Episode 4, Total Reward: 1.0, Total Frames: 66, epsilon 0.9999339999999981
Episode 5, Total Reward: 0.0, Total Frames: 68, epsilon 0.999931999999998
Episode 6, Total Reward: 0.0, Total Frames: 70, epsilon 0.999929999999998
Episode 7, Total Reward: 0.0, Total Frames: 72, epsilon 0.9999279999999979
Episode 8, Total Reward: 0.0, Total Frames: 74, epsilon 0.9999259999999979
Episode 9, Total Reward: 0.0, Total Frames: 76, epsilon 0.9999239999999978
Episode 10, Total Reward: 2.0, Total Frames: 96, epsilon 0.9999039999999972
Episode 11, Total Reward: 0.0, Total Frames: 98, epsilon 0.9999019999999972
Episode 12, Total Reward: 1.0, Total Frames: 112, epsilon 0.9998879999999968
Episode 13, Total Reward: 0.0, Total Frames: 114, epsilon 0.9998859999999967
Episode 14, Total Reward: 0.0, Total Frames: 116, epsilon 0.9998839999999967
Episode 15, Total Reward: 0.0, Total Frames: 118, epsilon 0.9998819999999966
Episode 16, Total Reward: 1.0, Total Frames: 129, epsilon 0.9998709999999963
Episode 17, Total Reward: 0.0, Total Frames: 131, epsilon 0.9998689999999962
Episode 18, Total Reward: 0.0, Total Frames: 133, epsilon 0.9998669999999962
Episode 19, Total Reward: 1.0, Total Frames: 145, epsilon 0.9998549999999958
Episode 20, Total Reward: 0.0, Total Frames: 147, epsilon 0.9998529999999958
Episode 21, Total Reward: 1.0, Total Frames: 158, epsilon 0.9998419999999955
Episode 22, Total Reward: 0.0, Total Frames: 171, epsilon 0.9998289999999951
Episode 23, Total Reward: 0.0, Total Frames: 173, epsilon 0.999826999999995
Episode 24, Total Reward: 0.0, Total Frames: 175, epsilon 0.999824999999995
Episode 25, Total Reward: 0.0, Total Frames: 177, epsilon 0.9998229999999949
Episode 26, Total Reward: 0.0, Total Frames: 179, epsilon 0.9998209999999949
Episode 27, Total Reward: 0.0, Total Frames: 181, epsilon 0.9998189999999948
Episode 28, Total Reward: 0.0, Total Frames: 183, epsilon 0.9998169999999947
Episode 29, Total Reward: 0.0, Total Frames: 185, epsilon 0.9998149999999947
Episode 30, Total Reward: 2.0, Total Frames: 205, epsilon 0.9997949999999941
Episode 31, Total Reward: 0.0, Total Frames: 207, epsilon 0.999792999999994
Episode 32, Total Reward: 3.0, Total Frames: 241, epsilon 0.9997589999999931
Episode 33, Total Reward: 0.0, Total Frames: 243, epsilon 0.999756999999993
Episode 34, Total Reward: 0.0, Total Frames: 245, epsilon 0.999754999999993
Episode 35, Total Reward: 3.0, Total Frames: 283, epsilon 0.9997169999999919
Episode 36, Total Reward: 1.0, Total Frames: 298, epsilon 0.9997019999999914
Episode 37, Total Reward: 0.0, Total Frames: 305, epsilon 0.9996949999999912
Episode 38, Total Reward: 0.0, Total Frames: 307, epsilon 0.9996929999999912
Episode 39, Total Reward: 3.0, Total Frames: 345, epsilon 0.9996549999999901
Episode 40, Total Reward: 0.0, Total Frames: 347, epsilon 0.99965299999999
Episode 41, Total Reward: 0.0, Total Frames: 349, epsilon 0.99965099999999
Episode 42, Total Reward: 0.0, Total Frames: 351, epsilon 0.9996489999999899
Episode 43, Total Reward: 0.0, Total Frames: 353, epsilon 0.9996469999999898
Episode 44, Total Reward: 0.0, Total Frames: 355, epsilon 0.9996449999999898
Episode 45, Total Reward: 0.0, Total Frames: 357, epsilon 0.9996429999999897
Episode 46, Total Reward: 1.0, Total Frames: 370, epsilon 0.9996299999999894
Episode 47, Total Reward: 2.0, Total Frames: 400, epsilon 0.9995999999999885
Episode 48, Total Reward: 0.0, Total Frames: 409, epsilon 0.9995909999999882
Episode 49, Total Reward: 0.0, Total Frames: 411, epsilon 0.9995889999999882
Episode 50, Total Reward: 1.0, Total Frames: 422, epsilon 0.9995779999999879
Episode 51, Total Reward: 0.0, Total Frames: 424, epsilon 0.9995759999999878
Episode 52, Total Reward: 0.0, Total Frames: 426, epsilon 0.9995739999999878
Episode 53, Total Reward: 2.0, Total Frames: 444, epsilon 0.9995559999999872
Episode 54, Total Reward: 0.0, Total Frames: 446, epsilon 0.9995539999999872
Episode 55, Total Reward: 1.0, Total Frames: 458, epsilon 0.9995419999999868
Episode 56, Total Reward: 0.0, Total Frames: 460, epsilon 0.9995399999999868
Episode 57, Total Reward: 0.0, Total Frames: 462, epsilon 0.9995379999999867
Episode 58, Total Reward: 0.0, Total Frames: 464, epsilon 0.9995359999999867
Episode 59, Total Reward: 0.0, Total Frames: 466, epsilon 0.9995339999999866
Episode 60, Total Reward: 0.0, Total Frames: 468, epsilon 0.9995319999999865
Episode 61, Total Reward: 0.0, Total Frames: 470, epsilon 0.9995299999999865
Episode 62, Total Reward: 0.0, Total Frames: 472, epsilon 0.9995279999999864
Episode 63, Total Reward: 1.0, Total Frames: 483, epsilon 0.9995169999999861
Episode 64, Total Reward: 0.0, Total Frames: 491, epsilon 0.9995089999999859
Episode 65, Total Reward: 0.0, Total Frames: 493, epsilon 0.9995069999999858
Episode 66, Total Reward: 0.0, Total Frames: 495, epsilon 0.9995049999999858
Episode 67, Total Reward: 1.0, Total Frames: 506, epsilon 0.9994939999999854
Episode 68, Total Reward: 0.0, Total Frames: 508, epsilon 0.9994919999999854
Episode 69, Total Reward: 0.0, Total Frames: 510, epsilon 0.9994899999999853
Episode 70, Total Reward: 0.0, Total Frames: 512, epsilon 0.9994879999999853
Episode 71, Total Reward: 1.0, Total Frames: 523, epsilon 0.999476999999985
Episode 72, Total Reward: 0.0, Total Frames: 533, epsilon 0.9994669999999847
Episode 73, Total Reward: 1.0, Total Frames: 545, epsilon 0.9994549999999843
Episode 74, Total Reward: 0.0, Total Frames: 547, epsilon 0.9994529999999843
Episode 75, Total Reward: 1.0, Total Frames: 558, epsilon 0.999441999999984
Episode 76, Total Reward: 0.0, Total Frames: 572, epsilon 0.9994279999999836
Episode 77, Total Reward: 2.0, Total Frames: 597, epsilon 0.9994029999999828
Episode 78, Total Reward: 0.0, Total Frames: 599, epsilon 0.9994009999999828
Episode 79, Total Reward: 0.0, Total Frames: 601, epsilon 0.9993989999999827
Episode 80, Total Reward: 0.0, Total Frames: 603, epsilon 0.9993969999999827
Episode 81, Total Reward: 3.0, Total Frames: 639, epsilon 0.9993609999999816
Episode 82, Total Reward: 0.0, Total Frames: 641, epsilon 0.9993589999999816
Episode 83, Total Reward: 0.0, Total Frames: 643, epsilon 0.9993569999999815
Episode 84, Total Reward: 0.0, Total Frames: 645, epsilon 0.9993549999999815
Episode 85, Total Reward: 0.0, Total Frames: 647, epsilon 0.9993529999999814
